,symbol,open,high,low,close,volume
2019-10-12 11:00:00,BTC/USDT,8372.44,8398.22,8317.0,8333.72,1562.573921
2019-10-12 12:00:00,BTC/USDT,8334.29,8345.71,8316.32,8322.67,773.9709299999998
2019-10-12 13:00:00,BTC/USDT,8324.47,8329.69,8285.0,8306.28,890.2667139999999
2019-10-12 14:00:00,BTC/USDT,8303.33,8326.95,8293.78,8309.86,610.302732
2019-10-12 15:00:00,BTC/USDT,8311.65,8340.62,8308.08,8335.95,432.7751930000001
2019-10-12 16:00:00,BTC/USDT,8335.95,8345.34,8315.42,8332.0,481.3590919999999
2019-10-12 17:00:00,BTC/USDT,8331.22,8344.35,8316.83,8321.07,456.2477959999999
2019-10-12 18:00:00,BTC/USDT,8321.06,8329.66,8292.7,8300.09,430.6219799999999
2019-10-12 19:00:00,BTC/USDT,8301.98,8333.29,8276.33,8320.52,922.672072
2019-10-12 20:00:00,BTC/USDT,8320.28,8366.0,8316.83,8341.47,1066.5408510000002
2019-10-12 21:00:00,BTC/USDT,8341.47,8352.48,8325.84,8339.38,506.35574500000007
2019-10-12 22:00:00,BTC/USDT,8338.99,8345.76,8326.27,8340.07,571.830014
2019-10-12 23:00:00,BTC/USDT,8341.26,8356.72,8326.18,8333.77,561.8925200000002
2019-10-13 00:00:00,BTC/USDT,8332.42,8335.05,8313.31,8324.95,545.4979440000002
2019-10-13 01:00:00,BTC/USDT,8325.1,8325.1,8306.46,8312.17,476.701283
2019-10-13 02:00:00,BTC/USDT,8312.15,8345.84,8309.09,8321.08,530.7421810000001
2019-10-13 03:00:00,BTC/USDT,8319.7,8346.82,8316.15,8342.31,623.2367189999998
2019-10-13 04:00:00,BTC/USDT,8343.0,8350.89,8321.01,8338.33,1227.5188309999999
2019-10-13 05:00:00,BTC/USDT,8338.29,8350.32,8326.5,8333.45,600.3145660000004
2019-10-13 06:00:00,BTC/USDT,8334.28,8383.0,8329.74,8347.32,1225.8879499999998
2019-10-13 07:00:00,BTC/USDT,8348.31,8433.6,8344.39,8393.07,2390.3732910000003
2019-10-13 08:00:00,BTC/USDT,8396.19,8439.32,8380.14,8411.02,1444.3894610000004
2019-10-13 09:00:00,BTC/USDT,8411.02,8419.16,8363.25,8400.96,1557.599604
2019-10-13 10:00:00,BTC/USDT,8400.96,8418.18,8384.17,8403.8,831.675398
2019-10-13 11:00:00,BTC/USDT,8401.88,8451.37,8401.67,8422.15,1937.2278720000006
2019-10-13 12:00:00,BTC/USDT,8422.95,8445.28,8412.06,8424.54,899.2042770000003
2019-10-13 13:00:00,BTC/USDT,8424.02,8437.04,8415.91,8424.34,516.1534189999999
2019-10-13 14:00:00,BTC/USDT,8423.55,8437.31,8420.37,8434.02,511.195382
2019-10-13 15:00:00,BTC/USDT,8434.02,8436.19,8160.0,8256.82,6150.752766999999
